season,week,seasonType,startDateEastern,dayOfWeek,kickoffTimeStr,homeTeam,awayTeam,homeTeamRank,awayTeamRank,isRankedMatchup,stadium,capacity,city,state,neutralSite,isRivalry,conferenceGame,excitementIndex,lowest_price,average_price,listing_count,group_price_2,group_price_4,lowest_price_upper,lowest_price_lower
2025,1,regular,2025-08-30 12:45:00-04:00,Saturday,12:45 PM,Kentucky,Toledo,,,False,Kroger Field at C.M. Newton Grounds,61000.0,Lexington,KY,False,False,False,,31,208,111,129,326,48,83
2025,1,regular,2025-08-30 14:00:00-04:00,Saturday,2:00 PM,West Virginia,Robert Morris,,,False,Mountaineer Field at Milan Puskar Stadium,60000.0,Morgantown,WV,False,False,False,,27,235,128,61,318,98,159
2025,1,regular,2025-08-30 14:00:00-04:00,Saturday,2:00 PM,UConn,Central Connecticut,,,False,Pratt & Whitney Stadium at Rentschler Field,40000.0,East Hartford,CT,False,False,False,,110,88,319,164,210,58,152
2025,1,regular,2025-08-30 14:00:00-04:00,Saturday,2:00 PM,Boston College,Fordham,,,False,Alumni Stadium,44500.0,Newton[e],MA,False,False,False,,54,169,270,76,278,91,110
2025,1,regular,2025-08-30 14:30:00-04:00,Saturday,2:30 PM,Indiana,Old Dominion,10.0,,False,Memorial Stadium,52959.0,Bloomington,IN,False,False,False,,103,111,333,181,365,78,187
2025,1,regular,2025-08-30 15:00:00-04:00,Saturday,3:00 PM,Louisville,Eastern Kentucky,,,False,L&N Federal Credit Union Stadium,61000.0,Louisville,KY,False,False,False,,132,228,497,56,211,54,155
2025,1,regular,2025-08-30 15:30:00-04:00,Saturday,3:30 PM,Iowa State,South Dakota,15.0,,False,Jack Trice Stadium,61500.0,Ames,IA,False,False,False,,108,202,399,154,120,44,95
2025,1,regular,2025-08-30 15:30:00-04:00,Saturday,3:30 PM,Penn State,Nevada,5.0,,False,Beaver Stadium,106572.0,College Township[f],PA,False,False,False,,74,151,529,66,176,29,122
2025,1,regular,2025-08-30 15:30:00-04:00,Saturday,3:30 PM,Massachusetts,Temple,,,False,,,,,False,False,False,,113,110,799,98,123,44,163
2025,1,regular,2025-08-30 15:30:00-04:00,Saturday,3:30 PM,Georgia,Marshall,6.0,,False,Sanford Stadium,92746.0,Athens,GA,False,False,False,,75,150,304,87,239,28,98
2025,1,regular,2025-08-30 15:30:00-04:00,Saturday,3:30 PM,Air Force,Bucknell,,,False,Falcon Stadium,39441.0,USAF Academy[i],CO,False,False,False,,52,206,364,119,298,55,104
2025,1,regular,2025-08-30 15:30:00-04:00,Saturday,3:30 PM,Florida State,Alabama,,17.0,False,Bobby Bowden Field at Doak S. Campbell Stadium,79560.0,Tallahassee,FL,False,False,False,,127,132,342,145,338,48,112
2025,1,regular,2025-08-30 15:30:00-04:00,Saturday,3:30 PM,Northern Illinois,Holy Cross,,,False,,,,,False,False,False,,28,85,634,194,102,78,140
2025,1,regular,2025-08-30 16:00:00-04:00,Saturday,4:00 PM,Oregon,Montana State,3.0,,False,Autzen Stadium,54000.0,Eugene,OR,False,False,False,,143,113,756,157,343,95,111
2025,1,regular,2025-08-30 16:00:00-04:00,Saturday,4:00 PM,Liberty,Maine,,,False,Arthur L. Williams Stadium,25000.0,Lynchburg,VA,False,False,False,,57,154,456,95,286,22,124
2025,1,regular,2025-08-30 16:15:00-04:00,Saturday,4:15 PM,Arkansas,Alabama A&M,,,False,"Donald W. Reynolds Razorback Stadium, Frank Broyles Field",76212.0,Fayetteville,AR,False,False,False,,112,90,660,188,236,69,112
2025,1,regular,2025-08-30 16:30:00-04:00,Saturday,4:30 PM,Memphis,Chattanooga,24.0,,False,Simmons Bank Liberty Stadium,62380.0,Memphis,TN,False,False,False,,72,142,237,60,159,89,180
2025,1,regular,2025-08-30 18:00:00-04:00,Saturday,6:00 PM,Oklahoma,Illinois State,,,False,Gaylord Family Oklahoma Memorial Stadium,80126.0,Norman,OK,False,False,False,,82,73,136,99,221,99,132
2025,1,regular,2025-08-30 18:00:00-04:00,Saturday,6:00 PM,Virginia,Coastal Carolina,,,False,"Carl Smith Center, Home of David A. Harrison III Field at Scott Stadium",61500.0,Charlottesville[g],VA,False,False,False,,60,224,940,188,330,81,194
2025,1,regular,2025-08-30 18:00:00-04:00,Saturday,6:00 PM,James Madison,Weber State,,,False,Bridgeforth Stadium,24878.0,Harrisonburg,VA,False,False,False,,69,206,967,140,181,51,116
2025,1,regular,2025-08-30 18:00:00-04:00,Saturday,6:00 PM,Iowa,UAlbany,,,False,Kinnick Stadium,69250.0,Iowa City,IA,False,False,False,,35,63,327,200,258,39,141
2025,1,regular,2025-08-30 19:00:00-04:00,Saturday,7:00 PM,Texas A&M,UTSA,,,False,Kyle Field,102733.0,College Station,TX,False,False,False,,52,236,663,66,345,61,146
2025,1,regular,2025-08-30 19:00:00-04:00,Saturday,7:00 PM,Arkansas State,Southeast Missouri State,,,False,Centennial Bank Stadium,30964.0,Jonesboro,AR,False,False,False,,64,150,413,60,130,58,162
2025,1,regular,2025-08-30 19:00:00-04:00,Saturday,7:00 PM,Vanderbilt,Charleston Southern,,,False,FirstBank Stadium,28500.0,Nashville,TN,False,False,False,,83,157,271,154,133,60,82
2025,1,regular,2025-08-30 19:00:00-04:00,Saturday,7:00 PM,Florida,Long Island University,,,False,Steve Spurrier-Florida Field at Ben Hill Griffin Stadium,88548.0,Gainesville,FL,False,False,False,,47,176,527,122,171,91,90
2025,1,regular,2025-08-30 19:00:00-04:00,Saturday,7:00 PM,Western Kentucky,North Alabama,,,False,Houchens Industries–L. T. Smith Stadium at Jimmy Feix Field,22113.0,Bowling Green,KY,False,False,False,,50,189,665,92,252,56,148
2025,1,regular,2025-08-30 19:00:00-04:00,Saturday,7:00 PM,Middle Tennessee,Austin Peay,,,False,"Johnny ""Red"" Floyd Stadium",31000.0,Murfreesboro,TN,False,False,False,,150,109,746,144,168,37,97
2025,1,regular,2025-08-30 19:00:00-04:00,Saturday,7:00 PM,Kansas State,North Dakota,,,False,Bill Snyder Family Football Stadium,50000.0,Manhattan,KS,False,False,False,,77,152,361,120,387,66,184
2025,1,regular,2025-08-30 19:00:00-04:00,Saturday,7:00 PM,South Alabama,Morgan State,,,False,Hancock Whitney Stadium,25450.0,Mobile,AL,False,False,False,,75,248,159,157,133,56,153
2025,1,regular,2025-08-30 19:00:00-04:00,Saturday,7:00 PM,Troy,Nicholls,,,False,Veterans Memorial Stadium at Larry Blakeney Field,30470.0,Troy,AL,False,False,False,,59,186,294,110,237,99,188
2025,1,regular,2025-08-30 19:30:00-04:00,Saturday,7:30 PM,Utah State,UTEP,,,False,,,,,False,False,False,,31,77,292,82,213,90,188
2025,1,regular,2025-08-30 19:30:00-04:00,Saturday,7:30 PM,Texas Tech,Arkansas-Pine Bluff,,,False,Jones AT&T Stadium,60229.0,Lubbock,TX,False,False,False,,103,146,673,63,234,31,192
2025,1,regular,2025-08-30 19:30:00-04:00,Saturday,7:30 PM,Michigan,New Mexico,,,False,Michigan Stadium,107601.0,Ann Arbor,MI,False,False,False,,45,70,702,161,129,62,184
2025,1,regular,2025-08-30 19:30:00-04:00,Saturday,7:30 PM,Clemson,LSU,14.0,,False,Frank Howard Field at Clemson Memorial Stadium,81500.0,Clemson,SC,False,False,False,,111,155,619,188,313,92,142
2025,1,regular,2025-08-30 19:30:00-04:00,Saturday,7:30 PM,USC,Missouri State,,,False,Los Angeles Memorial Coliseum,77500.0,Los Angeles,CA,False,False,False,,111,245,431,94,395,88,193
2025,1,regular,2025-08-30 19:30:00-04:00,Saturday,7:30 PM,Louisiana Tech,SE Louisiana,,,False,Joe Aillet Stadium,28109.0,Ruston,LA,False,False,False,,67,91,126,72,239,85,185
2025,1,regular,2025-08-30 19:45:00-04:00,Saturday,7:45 PM,Ole Miss,Georgia State,11.0,,False,,,,,False,False,False,,102,249,997,116,251,31,108
2025,1,regular,2025-08-30 20:00:00-04:00,Saturday,8:00 PM,North Texas,Lamar,,,False,DATCU Stadium,30850.0,Denton,TX,False,False,False,,114,232,504,80,136,74,125
2025,1,regular,2025-08-30 20:00:00-04:00,Saturday,8:00 PM,Tulsa,Abilene Christian,,,False,Skelly Field at H. A. Chapman Stadium,30000.0,Tulsa,OK,False,False,False,,49,169,893,85,327,93,90
2025,1,regular,2025-08-30 20:00:00-04:00,Saturday,8:00 PM,BYU,Portland State,13.0,,False,LaVell Edwards Stadium,63470.0,Provo,UT,False,False,False,,127,118,328,102,389,28,111
2025,1,regular,2025-08-30 20:00:00-04:00,Saturday,8:00 PM,Texas State,Eastern Michigan,,,False,Jim Wacker Field at UFCU Stadium,30000.0,San Marcos,TX,False,False,False,,101,136,486,130,250,41,83
2025,1,regular,2025-08-30 20:00:00-04:00,Saturday,8:00 PM,Louisiana,Rice,,,False,Cajun Field,41426.0,Lafayette,LA,False,False,False,,40,190,104,94,376,30,193
2025,1,regular,2025-08-30 21:00:00-04:00,Saturday,9:00 PM,New Mexico State,Bryant,,,False,Aggie Memorial Stadium,30343.0,Las Cruces,NM,False,False,False,,65,86,760,130,155,61,88
2025,1,regular,2025-08-30 21:00:00-04:00,Saturday,9:00 PM,SMU,East Texas A&M,12.0,,False,Gerald J. Ford Stadium,32000.0,University Park[k],TX,False,False,False,,32,232,328,129,367,81,129
2025,1,regular,2025-08-30 21:30:00-04:00,Saturday,9:30 PM,Fresno State,Georgia Southern,,,False,Valley Children's Stadium,41031.0,Fresno,CA,False,False,False,,148,139,962,88,165,45,180
2025,1,regular,2025-08-30 22:00:00-04:00,Saturday,10:00 PM,Washington State,Idaho,,,False,Martin Stadium,32248.0,Pullman,WA,False,True,False,,39,147,261,62,234,100,155
2025,1,regular,2025-08-30 22:00:00-04:00,Saturday,10:00 PM,Arizona State,Northern Arizona,7.0,,False,"Frank Kush Field, Home of the ASU Sun Devils/Mountain America Stadium",56232.0,Tempe,AZ,False,False,False,,38,54,235,163,120,80,173
2025,1,regular,2025-08-30 22:30:00-04:00,Saturday,10:30 PM,Oregon State,California,,,False,Reser Stadium,35548.0,Corvallis,OR,False,False,False,,88,100,747,60,225,43,146
2025,1,regular,2025-08-30 22:30:00-04:00,Saturday,10:30 PM,Arizona,Hawai'i,,,False,Arizona Stadium,56029.0,Tucson,AZ,False,False,False,,33,240,122,115,118,100,145
2025,1,regular,2025-08-30 23:00:00-04:00,Saturday,11:00 PM,Washington,Colorado State,,,False,Alaska Airlines Field at Husky Stadium,70083.0,Seattle,WA,False,False,False,,49,189,723,167,326,89,128
2025,1,regular,2025-08-30 23:00:00-04:00,Saturday,11:00 PM,UCLA,Utah,,,False,Rose Bowl Stadium,89702.0,Pasadena,CA,False,False,False,,99,181,940,109,294,94,141
2025,1,regular,2025-08-31 15:00:00-04:00,Sunday,3:00 PM,Virginia Tech,South Carolina,,19.0,False,Lane Stadium/Worsham Field,66233.0,Blacksburg,VA,True,False,False,,118,114,929,85,244,57,109
2025,1,regular,2025-08-31 19:30:00-04:00,Sunday,7:30 PM,Miami,Notre Dame,18.0,2.0,True,Fred C. Yager Stadium,24286.0,Oxford,OH,False,False,False,,35,61,507,76,319,33,132
2025,1,regular,2025-08-31 19:30:00-04:00,Sunday,7:30 PM,Miami,Notre Dame,18.0,2.0,True,Hard Rock Stadium,65326.0,Miami Gardens,FL,False,False,False,,114,180,929,60,396,32,116
2025,1,regular,2025-09-01 20:00:00-04:00,Monday,8:00 PM,North Carolina,TCU,,,False,Kenan Stadium,50500.0,Chapel Hill,NC,False,False,False,,107,192,666,111,198,22,86
2025,2,regular,2025-09-05 19:00:00-04:00,Friday,7:00 PM,Louisville,James Madison,,,False,L&N Federal Credit Union Stadium,61000.0,Louisville,KY,False,False,False,,58,152,357,173,351,95,124
2025,2,regular,2025-09-05 19:30:00-04:00,Friday,7:30 PM,Northwestern,Western Illinois,,,False,Northwestern Medicine Field at Martin Stadium[O 2],12023.0,Evanston,IL,True,False,False,,123,83,840,163,355,76,90
2025,2,regular,2025-09-05 19:30:00-04:00,Friday,7:30 PM,Maryland,Northern Illinois,,,False,SECU Stadium,51802.0,College Park,MD,False,False,False,,120,60,906,63,284,33,164
2025,2,regular,2025-09-05 21:00:00-04:00,Friday,9:00 PM,Boise State,Eastern Washington,8.0,,False,Albertsons Stadium,36387.0,Boise,ID,False,False,False,,54,58,629,57,125,78,110
2025,2,regular,2025-09-06 00:00:00-04:00,Saturday,,Nevada,Sacramento State,,,False,Mackay Stadium,27000.0,Reno,NV,False,False,False,,124,58,696,80,159,42,171
2025,2,regular,2025-09-06 00:00:00-04:00,Saturday,,Wyoming,Northern Iowa,,,False,Jonah Field at War Memorial Stadium,29181.0,Laramie,WY,False,False,False,,27,138,750,79,194,46,194
2025,2,regular,2025-09-06 00:00:00-04:00,Saturday,,New Mexico,Idaho State,,,False,University Stadium,39224.0,Albuquerque,NM,False,False,False,,118,139,316,191,315,92,183
2025,2,regular,2025-09-06 00:00:00-04:00,Saturday,,Colorado State,Northern Colorado,,,False,Sonny Lubick Field at Canvas Stadium,41200.0,Fort Collins,CO,False,False,False,,42,222,712,74,258,31,131
2025,2,regular,2025-09-06 00:00:00-04:00,Saturday,,Hawai'i,Sam Houston,,,False,,,,,False,False,False,,73,138,585,83,381,39,118
2025,2,regular,2025-09-06 12:00:00-04:00,Saturday,12:00 PM,Jacksonville State,Liberty,,,False,Burgess–Snow Field at AmFirst Stadium,22500.0,Jacksonville,AL,False,False,True,,91,161,327,196,358,86,167
2025,2,regular,2025-09-06 12:00:00-04:00,Saturday,12:00 PM,Texas Tech,Kent State,,,False,Jones AT&T Stadium,60229.0,Lubbock,TX,False,False,False,,61,200,101,198,341,66,111
2025,2,regular,2025-09-06 12:00:00-04:00,Saturday,12:00 PM,Minnesota,Northwestern State,,,False,Huntington Bank Stadium,50805.0,Minneapolis,MN,False,False,False,,132,128,776,186,372,88,157
2025,2,regular,2025-09-06 12:00:00-04:00,Saturday,12:00 PM,Florida State,East Texas A&M,,,False,Bobby Bowden Field at Doak S. Campbell Stadium,79560.0,Tallahassee,FL,False,False,False,,59,57,156,142,390,78,164
2025,2,regular,2025-09-06 12:00:00-04:00,Saturday,12:00 PM,Penn State,Florida International,5.0,,False,Beaver Stadium,106572.0,College Township[f],PA,False,False,False,,23,61,814,53,314,35,175
2025,2,regular,2025-09-06 12:00:00-04:00,Saturday,12:00 PM,Indiana,Kennesaw State,10.0,,False,Memorial Stadium,52959.0,Bloomington,IN,False,False,False,,150,105,339,134,142,52,173
2025,2,regular,2025-09-06 12:00:00-04:00,Saturday,12:00 PM,NC State,Virginia,,,False,Wayne Day Family Field at Carter–Finley Stadium,57583.0,Raleigh,NC,False,False,True,,101,52,942,87,285,41,139
2025,2,regular,2025-09-06 12:00:00-04:00,Saturday,12:00 PM,SMU,Baylor,12.0,,False,Gerald J. Ford Stadium,32000.0,University Park[k],TX,False,False,False,,21,112,458,188,307,41,185
2025,2,regular,2025-09-06 12:00:00-04:00,Saturday,12:00 PM,Duke,Illinois,,16.0,False,Brooks Field at Wallace Wade Stadium,35018.0,Durham,NC,False,False,False,,43,229,220,106,391,94,131
2025,2,regular,2025-09-06 12:00:00-04:00,Saturday,12:00 PM,Pittsburgh,Central Michigan,,,False,Acrisure Stadium,68400.0,Pittsburgh,PA,False,False,False,,138,117,195,101,273,24,158
2025,2,regular,2025-09-06 12:00:00-04:00,Saturday,12:00 PM,Syracuse,UConn,20.0,,False,JMA Wireless Dome,42784.0,Syracuse,NY,False,True,False,,134,178,309,68,268,38,151
2025,2,regular,2025-09-06 12:00:00-04:00,Saturday,12:00 PM,Iowa State,Iowa,15.0,,False,Jack Trice Stadium,61500.0,Ames,IA,False,True,False,,41,183,469,132,384,58,158
2025,2,regular,2025-09-06 12:00:00-04:00,Saturday,12:00 PM,Texas,San José State,4.0,,False,Darrell K Royal–Texas Memorial Stadium,100119.0,Austin,TX,False,False,False,,55,56,830,84,370,89,119
2025,2,regular,2025-09-06 12:45:00-04:00,Saturday,12:45 PM,Texas A&M,Utah State,,,False,Kyle Field,102733.0,College Station,TX,False,False,False,,146,139,125,51,376,76,190
2025,2,regular,2025-09-06 14:00:00-04:00,Saturday,2:00 PM,Temple,Howard,,,False,Lincoln Financial Field,68532.0,Philadelphia,PA,False,False,False,,99,70,713,101,391,94,101
2025,2,regular,2025-09-06 14:00:00-04:00,Saturday,2:00 PM,Wake Forest,Western Carolina,,,False,Allegacy Federal Credit Union Stadium,31500.0,Winston-Salem,NC,False,False,False,,118,51,771,154,227,20,147
2025,2,regular,2025-09-06 15:30:00-04:00,Saturday,3:30 PM,Kentucky,Ole Miss,,11.0,False,Kroger Field at C.M. Newton Grounds,61000.0,Lexington,KY,False,False,True,,103,141,633,68,301,20,189
2025,2,regular,2025-09-06 15:30:00-04:00,Saturday,3:30 PM,Massachusetts,Bryant,,,False,,,,,False,False,False,,146,105,786,86,336,56,128
2025,2,regular,2025-09-06 15:30:00-04:00,Saturday,3:30 PM,Buffalo,St. Francis (PA),,,False,UB Stadium,25013.0,Amherst[m],NY,False,False,False,,134,197,354,169,330,25,159
2025,2,regular,2025-09-06 15:30:00-04:00,Saturday,3:30 PM,Tennessee,East Tennessee State,9.0,,False,Neyland Stadium,101915.0,Knoxville,TN,False,False,False,,134,193,851,98,342,22,97
2025,2,regular,2025-09-06 15:30:00-04:00,Saturday,3:30 PM,Rutgers,Miami (OH),,,False,SHI Stadium,52454.0,Piscataway,NJ,False,False,False,,143,138,184,90,238,89,175
2025,2,regular,2025-09-06 15:30:00-04:00,Saturday,3:30 PM,Missouri,Kansas,22.0,,False,Faurot Field at Memorial Stadium,61620.0,Columbia,MO,False,True,False,,102,143,914,107,139,44,87
2025,2,regular,2025-09-06 15:30:00-04:00,Saturday,3:30 PM,Oregon,Oklahoma State,3.0,,False,Autzen Stadium,54000.0,Eugene,OR,False,False,False,,127,54,109,178,191,75,109
2025,2,regular,2025-09-06 15:30:00-04:00,Saturday,3:30 PM,Oregon State,Fresno State,,,False,Reser Stadium,35548.0,Corvallis,OR,False,False,False,,113,216,840,68,253,36,126
2025,2,regular,2025-09-06 15:30:00-04:00,Saturday,3:30 PM,Georgia,Austin Peay,6.0,,False,Sanford Stadium,92746.0,Athens,GA,False,False,False,,45,156,698,191,377,98,112
2025,2,regular,2025-09-06 15:30:00-04:00,Saturday,3:30 PM,Cincinnati,Bowling Green,,,False,Nippert Stadium,38088.0,Cincinnati,OH,False,False,False,,138,226,347,138,239,51,158
2025,2,regular,2025-09-06 15:30:00-04:00,Saturday,3:30 PM,App State,Lindenwood,,,False,,,,,False,False,False,,30,90,186,185,262,44,99
2025,2,regular,2025-09-06 15:30:00-04:00,Saturday,3:30 PM,Colorado,Delaware,25.0,,False,Folsom Field,50183.0,Boulder,CO,False,False,False,,25,101,782,79,198,66,108
2025,2,regular,2025-09-06 15:30:00-04:00,Saturday,3:30 PM,Ohio State,Grambling,1.0,,False,Ohio Stadium,102780.0,Columbus,OH,False,False,False,,80,220,310,158,217,74,142
2025,2,regular,2025-09-06 15:30:00-04:00,Saturday,3:30 PM,Clemson,Troy,14.0,,False,Frank Howard Field at Clemson Memorial Stadium,81500.0,Clemson,SC,False,False,False,,79,198,932,89,264,87,180
2025,2,regular,2025-09-06 15:30:00-04:00,Saturday,3:30 PM,UTSA,Texas State,,,False,Alamodome,65000.0,San Antonio,TX,False,True,False,,128,111,510,152,265,39,171
